program;number;section;title;credits;days;times;room;faculty;tags
ECO;210;a;Macroeconomic Analysis;3.0;-M-W-F-;1:50-2:50PM;YOUN 101;R. Radhakrishnan;
THR;111;b;Lighting Practicum;1.0;;TBA;TBA;A. Kuznetsova;E1
MAT;130;d;Introduction to Statistics;3.0;-M-W-F-;12:40-1:40PM;YOUN 201;D. Neidmann;
THR;114;b;Rehearsal and Performance;1.0;-------;TBA;TBA;K. Anderson;
MAT;311;a;Mathematical Statistics;3.0;-M-W-F-;12:40-1:40PM;YOUN 134;D. Hopper;
MUS;192;a;CentreJazz;1.0;-M-----;4:00-6:00PM;GRNT 113;D. Worley;A
BIO;210L;;BIO 210 Lab;0.0;--T-R--;2:20-3:50PM;YOUN 208;G. Bell;E1
BIO;1
    prompt = "return the following line in the form of exclusively a working JSON set up with the different categories: program (should be 3 capital letters), number(should be 3 numbers with the possibilty of an L at the end), section(just a lowercase letter and is always present), title(look for a string in title case), credits(look for a float), days(a list that may look like -m-w-f- if not present list as -------), times (if not given list as TBA), room(4 letters followed by 3 numbers if ot present list as TBA), faculty(someones first inital and last name), tags(Possible tags are: A, S, G, R, E1, E2, E3, D. Tags may or may not be present in the line. If no tags from this list appear, set tags to None equivelent in python10;c;Evolution, Biodiversity, Ecology;4.0;-M-W-F-;10:20-11:20AM;YOUN 102;J. Shaffer;E3
ECO;110;b;Introduction to Economics;3.0;-M-W-F-;12:40-1:40PM;CRNS 102;K. Jones;E2
CHE;242;;Oranic Chemistry-II;4.0;-M-W-F-;11:30-12:30PM;YOUN 112;A. Hitron;YOUN
POL;260;a;Intro to International Relations;3.0;--T-R--;8:00-9:30AM;CRNS 307;A. Hor;
SPA;120;f;Beginning Spanish II;4.0;-M-W-F-;12:40-1:40PM;YOUN 245;L. Aja Lopez;A
PHI;250;a;Self, World, and Freedom;3.0;-M-W-F-;3:00-4:00PM;CRNS 302;A. Roche;GRNT
ECO;500;;Senior Seminar;3.0;-M-W-F-;1:50-2:50PM;OLIN 128;K. Greer;E1
PSY;492;;Advanced Research Topics;1.0;-M-W-F-;8:00-9:00AM;YOUN 213;M. Cope;R
SPA;120;c;Beginning Spanish II;4.0;-M-W-F-;9:10-10:10AM;CRNS 405;W. Costley;
CHE;242L;a;CHE 242 Lab;0.0;--T----;8:00-11:00AM;YOUN 205;K. Paumi;
PHI;381;;Feminism and Philosophy;3.0;--T-R--;2:20-3:50PM;GRNT 401;E. Cadavid;
CHE;131;a;General Chemistry-I;4.0;-M-W-F-;8:00-9:00AM;YOUN 110;R. Witt;E3
BIO;110;d;Evolution, Biodiversity, Ecology;4.0;;11:30-12:30PM;YOUN 102;M. Galatowitsch;E3
PSY;500;a;Senior Seminar;3.0;--T-R--;2:20-3:50PM;YOUN 114;J. Goetz;
BIO;227L;a;BIO 227 Lab;0.0;--T-R--;9:40-11:10AM;YOUN 126;A. Carr;
CHE;241L;b;CHE 241 Lab;0.0;----R--;12:40-3:40PM;YOUN 236;A. Hitron;
PHI;110;;Introduction to Philosophy;3.0;-M-W-F-;9:10-10:10AM;CRNS 302;A. Roche;A
THR;111;;Lighting Practicum;1.0;-------;TBA;TBA;A. Kuznetsova;A
REL;234;;Heaven and Hell;3.0;--T-R--;9:40-11:10AM;YOUN 110;L. Jefferson;E2
CHE;348;;Polymer Chemistry;3.0;-M-W-F-;10:20-11:20AM;OLIN 202;L. Mehanna;
MAT;305;a;Combinatorics and Graph Theory;3.0;--T-R--;12:40-2:10PM;YOUN 110;L. Wiglesworth;
